term_localName,label,definition,usage,notes,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutility_repeatable
fullName,Full Name,Preferred form of personal name for display as a string.,,,"`James Ewert Bradshaw`, `T. van Hooijdonk`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Person,No,No
resourceURI,Resource URI,A preferably resolvable URI to uniquely identify a concept.,A preferably resolvable URI providing access to the resource defined in the reference.,,"`10.5072/example-full`, `https://examplemuseum.org/policies/loans-policy.pdf`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Reference,No,No
