term_localName,label,definition,usage,notes,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutility_repeatable
identifier,Identifier,An unambiguous reference to the resource within a given context.,"A textual or numeric identifier, acronym or URI that provides an unambiguous reference for an entity within a given context.","This may be a simple value or resolvable URI, and can reflect any identifier used to identify an entity (such as a collection, taxon, institution or person) included in the Collection Description.","`http://grscicoll.org/institutional-collection/osteology`, `https://www.gbif.org/grscicoll/collection/64232ca4-fd5a-4a3d-a1d5-ef812107472c`, `https://www.gbif.org/grscicoll/institution/52827361-5e82-43b7-b92a-f6ad98367fa5`, `http://sweetgum.nybg.org/science/ih/herbarium-details/?irn=126969`, `10.5072/example-full`, `NHMUK-Verts`, `BGBM`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Identifier,Yes,No
source,Identifier Source,A related resource from which the described resource is derived.,The source or creator of the identifier.,"This term refers to the organisation, framework, software or database that minted the identifier represented in the identifier property.","`Index Herbariorum`, `GBIF Registry of Scientific Collections (GRSciColl)`, `CITES`, `IPEN`, `NHM UK 'Join the Dots' framework`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Identifier,No,No
